,Close,High,Low,Open,Volume,MFI_10,ATR_10,STOCHk_10_3_3,RET,MOM,VOL,ATR_10_res,MFI_10_res,STOCHk_10_3_3_res,Investor_Sentiment_PC1,ATR_10_res_scaled,MFI_10_res_scaled,STOCHk_10_3_3_res_scaled
2025-11-10,96529.9765625,105269.31600437242,96529.9765625,97920.32601916153,113643449,72.8838356862026,6611.126811505625,76.66795530734403,-0.0071502038599192,0.3633272938014984,0.0027728397167761,-2315.079183425913,-6.464909992009538,-7.809528392638654,-0.610506699504193,-0.1812868451194793,0.7448379460187831,0.6758342323111275
2025-11-17,94146.5234375,102190.68841475474,93848.59140130536,99112.057374077,103334007,64.03531092196243,6784.223831699999,61.62766377932899,-0.0246913260509992,0.3590465748049359,0.0029699705445623,-2489.082951449016,-13.11892934368717,-19.72203336244653,-1.6851511083440789,0.079748742329472,0.2856554702289788,0.096472682346639
2025-11-24,99807.234375,104772.76842350748,95536.87509328358,97125.84598880596,99001482,64.8914676988995,7168.425947130746,59.792059525187845,0.0601266061752976,0.2494631524439869,0.0027558029266008,-1444.936943212003,-8.37045070908232,-19.58858697682951,-1.426087670810985,-0.0267500686476246,0.2880535505638144,-0.0272012257450412
2025-12-01,107652.78125,107652.78125,99211.37312615314,101296.89748616236,70939656,64.24748322307701,7295.724164802358,67.03603755144492,0.0786069960171662,0.2446029040498654,0.0028730268652988,-1694.9183236536635,-9.32233363945778,-13.56851243079305,-1.1849540621391164,-0.4359514167028883,0.1925645699070796,0.1922373679815484
2025-12-08,108149.3359375,109738.30689709596,106063.8115530303,108943.82141729798,78769475,64.14981539721732,6933.601282728688,77.81116059403409,0.0046125579082518,0.2858501131702837,0.0029182706685681,-1948.881853129332,-8.355858604307159,1.2259076776262958,-0.3730339679592886,-0.7008433537006766,0.1834490677399511,0.6180789471310125
2025-12-15,105567.25,108943.81302916276,101992.06561618064,104574.14322671684,108107073,56.57545806572467,6935.415895754031,81.1808576095322,-0.0238751899409923,0.2130317072303826,0.0028174302241311,-1067.3880992870972,-7.843638375175935,15.854975830876882,0.2605308126518749,-0.5379491241952111,-0.2054180887212647,0.7756128887820364
2025-12-22,116193.4921875,116193.4921875,108546.57005208332,108943.81276041668,91789471,55.76313202305008,7304.498524928628,85.68999517719637,0.1006585109255,0.1326530508312084,0.0033417969357959,-2292.7090702728174,-7.323230640904292,16.705380947860547,0.4874277842661509,-0.965213288017189,-0.3315175780232228,0.8611004571190256
2025-12-29,127614.2265625,127614.2265625,117385.22630107004,118576.9544868677,69885632,55.58627974302572,7716.122109935765,90.84083567690402,0.0982906543214183,0.1962353639288749,0.0038766987587067,-3575.957509154431,-11.26201201586708,16.56310479297869,0.3204352388271483,-1.414773525851625,-0.4294647358573632,0.9651413654082256
2026-01-05,138712.890625,144201.53018210432,132425.90349595324,134321.97897931654,205472025,60.14932289340233,8603.240260902621,96.36655463745755,0.0869704292496287,0.2853329563980529,0.0041531400261226,-3846.668655705264,-13.13867833129838,14.132095568469609,0.087867995665943,-1.537175937396717,-0.2690658385332338,1.0870177260954272
2026-01-12,148592.4375,149191.1981615178,136517.43082605777,140708.75545668235,121801572,73.57218830156901,9010.292968358362,96.0059158839609,0.071222990383126,0.2842466853382837,0.0039963870387983,-2945.776952496157,0.8225806010009222,15.232183692323416,1.140168156202618,-1.893158654246213,0.3790106490065196,0.9846957310885336
